runtime,input,seconds,n,p50_ms,p95_ms,peak_mib,text_sha256
0.2.0,0,1.8905,40,58.14,65.22,1056,e431bde9f62f76024ba427be6bc8471fe195f1d5192a7b11d5ed0678a3ee0653
0.2.0,1,4.303625,40,91.52,102.39,1056,f1355f7e454584996e227e50e4d78f81e421a43b72ac4d81f1695abbe53b647a
0.2.0,2,18.2736875,40,326.51,364.66,1056,94d77d561638800a83badc67fe09f9d8f93394a2159f565f1d28dd1eb1ba6333
0.2.3,0,1.8905,40,44.71,46.43,907,e431bde9f62f76024ba427be6bc8471fe195f1d5192a7b11d5ed0678a3ee0653
0.2.3,1,4.303625,40,73.09,76.18,907,f1355f7e454584996e227e50e4d78f81e421a43b72ac4d81f1695abbe53b647a
0.2.3,2,18.2736875,40,275.22,285.98,907,94d77d561638800a83badc67fe09f9d8f93394a2159f565f1d28dd1eb1ba6333
